frame_num,player_1_pos,player_2_pos,ball_pos
96,"(np.float32(1711.3059), np.float32(541.81604))","(np.float32(1773.0142), np.float32(77.62538))","(np.float32(1789.5427), np.float32(428.33005))"
97,"(np.float32(1711.7711), np.float32(541.0991))","(np.float32(1773.6056), np.float32(78.15263))","(np.float32(1788.7673), np.float32(424.2978))"
98,"(np.float32(1711.4609), np.float32(540.03394))","(np.float32(1773.9014), np.float32(78.43222))","(np.float32(1787.8368), np.float32(423.17386))"
99,"(np.float32(1711.3059), np.float32(539.14606))","(np.float32(1774.197), np.float32(78.86293))","(np.float32(1786.9062), np.float32(430.77316))"
100,"(np.float32(1711.1509), np.float32(538.7993))","(np.float32(1774.4927), np.float32(79.04082))","(np.float32(1786.5961), np.float32(434.03))"
101,"(np.float32(1710.9957), np.float32(538.88873))","(np.float32(1774.7885), np.float32(79.11311))","(np.float32(1785.9757), np.float32(437.4419))"
102,"(np.float32(1710.6855), np.float32(539.4003))","(np.float32(1775.6202), np.float32(79.19847))","(np.float32(1785.5105), np.float32(441.0089))"
103,"(np.float32(1710.5305), np.float32(539.6205))","(np.float32(1776.4525), np.float32(79.29896))","(np.float32(1785.4146), np.float32(193.1351))"
104,"(np.float32(1709.2898), np.float32(539.63696))","(np.float32(1777.8464), np.float32(79.4403))","(np.float32(1784.9492), np.float32(189.56808))"
105,"(np.float32(1707.5837), np.float32(539.3868))","(np.float32(1777.825), np.float32(79.43729))","(np.float32(1784.484), np.float32(186.15617))"
106,"(np.float32(1706.3431), np.float32(539.3281))","(np.float32(1780.6143), np.float32(79.72697))","(np.float32(1822.6119), np.float32(190.19025))"
107,"(np.float32(1704.9473), np.float32(539.0351))","(np.float32(1778.7634), np.float32(79.94085))","(np.float32(1821.378), np.float32(183.09512))"
108,"(np.float32(1704.1719), np.float32(539.02515))","(np.float32(1775.6786), np.float32(80.09294))","(np.float32(1821.378), np.float32(179.08484))"
109,"(np.float32(1703.5515), np.float32(539.0432))","(np.float32(1772.5938), np.float32(80.13926))","(np.float32(1820.7611), np.float32(176.30849))"
110,"(np.float32(1703.0863), np.float32(539.1498))","(np.float32(1769.5089), np.float32(80.14065))","(np.float32(1820.144), np.float32(176.58492))"
111,"(np.float32(1703.0863), np.float32(539.3593))","(np.float32(1766.7325), np.float32(80.05009))","(np.float32(1819.8356), np.float32(178.74431))"
112,"(np.float32(1703.3965), np.float32(539.44855))","(np.float32(1765.4985), np.float32(80.06548))","(np.float32(1819.5271), np.float32(180.90369))"
113,"(np.float32(1704.2935), np.float32(539.3559))","(np.float32(1763.3392), np.float32(80.18653))","(np.float32(1819.2186), np.float32(183.37155))"
114,"(np.float32(1705.3541), np.float32(539.148))","(np.float32(1760.5629), np.float32(79.172905))","(np.float32(1818.9102), np.float32(184.6055))"
115,"(np.float32(1706.626), np.float32(539.05383))","(np.float32(1756.1116), np.float32(78.70815))","(np.float32(1817.4795), np.float32(185.02274))"
