frame_num,player_1_pos,player_2_pos,ball_pos
87,"(np.float32(1700.9625), np.float32(545.5172))","(np.float32(1753.218), np.float32(76.56838))","(np.float32(1788.549), np.float32(429.7534))"
88,"(np.float32(1699.7218), np.float32(545.5149))","(np.float32(1755.6171), np.float32(76.69239))","(np.float32(1789.7897), np.float32(430.68393))"
89,"(np.float32(1699.1014), np.float32(545.5314))","(np.float32(1755.6171), np.float32(76.64904))","(np.float32(1790.8752), np.float32(431.45935))"
90,"(np.float32(1698.6362), np.float32(545.4917))","(np.float32(1755.6171), np.float32(76.65934))","(np.float32(1791.9609), np.float32(433.01022))"
91,"(np.float32(1698.4811), np.float32(545.4145))","(np.float32(1755.6171), np.float32(76.655334))","(np.float32(1687.625), np.float32(539.39246))"
92,"(np.float32(1697.7057), np.float32(545.05145))","(np.float32(1755.9128), np.float32(76.54944))","(np.float32(1686.5394), np.float32(537.99664))"
93,"(np.float32(1696.7751), np.float32(544.34106))","(np.float32(1756.2085), np.float32(76.872604))","(np.float32(1685.2987), np.float32(535.67035))"
94,"(np.float32(1696.1548), np.float32(543.7448))","(np.float32(1756.2085), np.float32(77.05469))","(np.float32(1684.8334), np.float32(534.4296))"
95,"(np.float32(1696.1548), np.float32(542.9977))","(np.float32(1756.5042), np.float32(77.40797))","(np.float32(1795.528), np.float32(433.63058))"
96,"(np.float32(1696.9303), np.float32(542.09125))","(np.float32(1757.0956), np.float32(77.623634))","(np.float32(1795.0626), np.float32(427.89233))"
97,"(np.float32(1697.3955), np.float32(541.3743))","(np.float32(1757.687), np.float32(78.150894))","(np.float32(1794.2872), np.float32(423.86008))"
98,"(np.float32(1697.0853), np.float32(540.3091))","(np.float32(1757.9828), np.float32(78.43047))","(np.float32(1793.3567), np.float32(423.61157))"
99,"(np.float32(1696.9303), np.float32(539.4212))","(np.float32(1758.2784), np.float32(78.86119))","(np.float32(1792.4261), np.float32(431.21088))"
100,"(np.float32(1696.7751), np.float32(539.07446))","(np.float32(1758.5741), np.float32(79.03907))","(np.float32(1792.116), np.float32(434.46768))"
101,"(np.float32(1696.6201), np.float32(539.16394))","(np.float32(1758.8699), np.float32(79.111374))","(np.float32(1791.4956), np.float32(437.8796))"
102,"(np.float32(1696.3099), np.float32(539.6755))","(np.float32(1759.6733), np.float32(79.19673))","(np.float32(1790.9719), np.float32(196.34969))"
103,"(np.float32(1696.1548), np.float32(539.8957))","(np.float32(1760.4777), np.float32(79.29721))","(np.float32(1790.5067), np.float32(192.93776))"
104,"(np.float32(1694.9141), np.float32(539.9121))","(np.float32(1761.7083), np.float32(79.43854))","(np.float32(1790.0414), np.float32(189.37074))"
105,"(np.float32(1693.2081), np.float32(539.6619))","(np.float32(1761.5834), np.float32(79.43551))","(np.float32(1789.5762), np.float32(185.95883))"
106,"(np.float32(1691.9674), np.float32(539.6033))","(np.float32(1764.0077), np.float32(79.72515))","(np.float32(1832.7407), np.float32(189.79771))"
